dates,satname,nzd0008-0000,nzd0008-0001,nzd0008-0002,nzd0008-0003,nzd0008-0004,nzd0008-0005,nzd0008-0006,nzd0008-0007,nzd0008-0008,nzd0008-0009,nzd0008-0010,nzd0008-0011,nzd0008-0012,nzd0008-0013,nzd0008-0014,nzd0008-0015,nzd0008-0016,nzd0008-0017,nzd0008-0018,nzd0008-0019,nzd0008-0020,nzd0008-0021,nzd0008-0022,nzd0008-0023,nzd0008-0024,nzd0008-0025,nzd0008-0026,nzd0008-0027,nzd0008-0028,nzd0008-0029,nzd0008-0030,nzd0008-0031,nzd0008-0032,nzd0008-0033
2003-01-16 22:06:02.914000,L7,306.41,288.90,286.61,298.95,301.60,322.65,317.57,368.78,388.02,377.96,376.13,382.22,370.79,392.18,368.98,314.93,274.15,266.25,217.34,404.26,375.18,452.36,460.22,424.01,409.07,477.94,418.33,402.06,383.18,398.58,343.05,324.30,330.60,314.74
2003-12-26 21:56:18.593000,L5,266.56,266.60,245.90,209.57,238.21,259.54,250.45,245.06,226.06,201.37,250.97,236.40,235.91,250.54,227.42,253.38,251.83,244.37,,,,,,250.44,235.70,205.77,186.67,194.02,221.30,211.81,243.14,250.84,248.08,256.02
2004-05-18 21:58:14.785000,L5,286.11,271.12,250.54,248.74,249.02,269.49,253.69,257.20,255.80,214.39,267.07,269.95,231.21,178.67,227.07,293.00,274.03,265.85,221.48,,,,,257.55,268.18,262.88,226.82,209.60,244.68,226.15,255.05,265.77,260.62,266.01
2004-06-19 21:59:10.521000,L5,276.83,256.62,231.77,240.64,242.78,263.24,242.74,249.92,253.21,215.56,267.44,266.79,263.39,262.31,225.11,286.00,267.54,254.11,245.72,,,240.02,260.25,264.99,239.46,228.63,206.34,212.90,238.45,239.22,266.43,263.53,257.64,265.44
2004-07-21 22:00:04.249000,L5,270.22,259.54,240.06,238.92,237.01,260.61,238.11,254.50,238.71,207.99,268.48,255.02,258.22,245.59,229.09,282.32,255.70,251.25,,,,217.59,232.21,264.17,232.23,223.68,193.58,200.82,232.24,232.26,249.32,255.79,248.22,270.76
2004-08-22 22:00:48.706000,L5,280.43,267.99,251.53,244.96,248.93,268.55,255.95,255.27,245.24,215.82,267.77,269.52,261.82,260.38,242.09,284.24,261.16,258.25,241.98,,,226.59,252.88,261.79,232.61,225.95,206.77,208.60,240.85,221.43,252.91,257.02,246.67,260.70
2005-01-13 22:03:41.143000,L5,271.81,259.92,242.73,230.27,247.42,261.55,255.13,250.69,236.85,207.38,266.17,265.93,250.44,256.33,239.21,280.36,256.91,244.54,218.55,,,233.42,261.85,258.49,246.61,229.86,204.33,201.97,229.07,213.96,251.59,252.69,252.01,259.30
2005-02-14 22:04:09.465000,L5,289.80,278.04,260.38,238.10,232.54,256.03,238.47,239.99,223.24,199.62,262.89,270.61,260.27,268.50,255.34,258.62,250.66,252.88,,,,,,240.08,233.45,220.48,192.70,200.38,228.78,223.12,253.86,255.24,257.58,261.77
2005-04-03 22:04:40.528000,L5,277.09,269.04,258.12,250.32,252.59,268.58,257.13,258.70,240.18,202.82,270.25,261.15,263.03,258.62,235.74,282.16,261.28,254.78,223.97,,289.64,250.43,261.91,259.70,254.51,256.07,214.04,212.90,243.85,236.75,254.11,255.00,258.91,265.24
2005-04-19 22:04:43.597000,L5,283.80,269.79,257.85,242.86,249.22,270.98,254.55,254.21,238.23,209.69,272.95,265.67,215.69,215.82,207.54,283.74,261.91,254.98,,,,,,,,,193.26,217.06,238.00,231.74,247.73,254.61,259.14,271.47
2005-06-06 22:05:05.724000,L5,273.41,258.67,243.55,239.99,237.89,263.09,243.02,250.49,217.94,193.98,266.82,260.12,258.03,250.67,229.49,281.57,264.13,257.25,255.73,276.51,283.22,249.54,268.43,262.26,242.89,248.89,213.68,209.97,242.06,238.70,259.83,259.47,255.35,268.17
2005-08-25 22:05:41.221000,L5,259.24,229.31,214.46,206.68,216.11,247.04,249.61,249.59,233.46,208.25,272.05,267.56,235.35,245.95,204.44,285.19,257.86,250.67,,,281.36,244.14,,,233.10,222.68,201.37,213.43,239.11,236.33,258.43,263.84,255.60,267.08
2005-09-26 22:05:42.687000,L5,286.70,276.62,254.21,244.54,250.17,257.28,242.07,240.86,216.51,197.65,266.97,257.27,247.19,260.92,249.87,281.06,265.37,260.86,242.11,,274.25,240.73,260.71,253.78,234.69,228.19,198.08,201.38,232.71,230.26,253.54,254.92,252.65,262.37
2005-11-13 22:05:57.059000,L5,286.99,278.21,254.97,239.63,246.09,259.13,241.71,241.85,212.62,200.85,267.83,265.47,254.82,267.41,248.78,282.67,264.65,256.54,,259.29,273.26,242.13,262.30,253.41,235.36,227.36,194.87,204.85,231.98,221.52,254.77,254.79,251.88,258.92
2006-02-17 22:08:11.136000,L5,280.99,272.04,253.09,242.31,250.18,265.66,250.43,250.32,227.90,184.34,264.05,248.26,226.61,253.33,244.69,279.49,267.96,254.10,,,,,,,221.00,242.12,201.13,205.34,237.75,232.54,242.16,254.73,256.40,261.77
2006-04-06 22:09:08.139000,L5,283.78,273.59,245.44,241.48,249.59,265.91,251.80,253.25,221.54,214.64,271.04,263.89,258.98,265.10,244.60,287.60,271.79,259.95,243.68,270.77,276.92,253.86,271.22,262.27,248.94,252.16,213.14,212.52,242.52,247.30,262.09,258.89,260.58,266.74
2006-05-08 22:09:38.251000,L5,278.14,269.58,249.87,247.29,252.78,272.45,257.72,259.55,224.52,215.34,270.96,265.71,257.41,261.43,234.51,288.20,271.67,259.97,255.15,277.11,285.64,264.96,267.56,264.48,254.96,260.22,212.71,213.81,242.81,257.52,267.39,264.75,255.49,269.12
2006-06-25 22:10:20.606000,L5,272.34,263.08,240.96,240.16,245.13,259.86,247.21,251.72,206.77,190.05,261.99,260.68,244.36,254.88,223.22,272.65,249.91,232.30,,250.44,270.98,241.91,260.06,251.09,236.90,228.88,193.79,201.42,229.73,235.99,252.73,259.07,248.84,259.65
2006-07-11 22:10:34.443000,L5,,,,,200.05,235.23,214.45,216.74,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-28 22:11:11.674000,L5,272.05,254.64,239.01,240.64,247.82,263.67,253.63,254.05,213.62,196.39,261.10,255.50,243.20,251.31,221.79,277.31,256.69,244.93,,269.64,279.75,238.81,264.96,255.03,235.16,222.22,201.35,206.85,232.25,234.42,251.42,251.61,245.67,258.48
2006-12-02 22:12:34.352000,L5,,,249.62,262.73,264.39,268.57,268.69,255.21,233.88,204.85,248.01,301.13,266.69,,198.09,254.34,291.07,280.68,229.28,,293.18,203.57,282.28,261.10,263.50,240.96,216.66,204.35,225.45,219.18,248.91,247.82,251.96,251.92
2007-01-03 22:12:49.248000,L5,373.17,351.31,335.61,324.32,319.80,313.64,318.06,304.51,305.47,261.41,267.76,330.12,310.31,312.12,312.49,287.22,339.72,315.91,303.03,204.39,321.54,334.94,311.83,319.69,296.00,276.55,269.33,236.18,249.19,271.11,256.92,265.46,264.66,262.98
2007-01-19 22:12:30.924000,L5,283.93,266.05,236.94,232.92,233.55,254.60,240.17,242.68,217.33,206.70,269.66,263.51,247.49,264.19,238.32,288.20,260.92,246.88,210.84,254.24,270.82,243.85,261.60,249.08,235.07,226.23,196.21,202.77,231.32,237.93,252.89,252.35,251.81,259.77
2007-10-02 22:10:31.289000,L5,,193.08,240.94,243.41,250.51,261.86,251.40,249.00,216.82,211.32,271.52,273.28,253.64,268.76,247.34,295.26,272.32,261.47,244.87,272.72,278.47,250.58,268.95,259.82,240.31,238.54,203.71,209.93,236.51,249.90,261.68,258.73,256.23,260.64
2009-01-24 22:02:55.057000,L5,273.35,260.71,248.69,245.45,247.53,263.78,254.49,249.24,209.51,198.23,260.94,258.00,245.34,254.58,232.22,276.45,254.65,250.17,203.49,257.10,273.58,242.19,261.34,256.32,242.50,240.94,190.98,197.47,230.36,247.49,249.98,251.05,252.28,260.74
2010-01-27 22:08:26.527000,L5,280.10,264.61,229.52,211.65,215.31,236.02,220.76,235.53,207.95,183.90,238.04,239.32,226.91,236.45,219.04,274.10,249.83,237.63,,,,,,230.14,226.11,220.65,183.78,196.10,228.96,252.91,247.79,248.40,243.76,259.97
2010-02-12 22:08:30.110000,L5,261.44,250.93,228.64,206.68,209.39,225.96,215.79,218.63,,,,,,,,,,,,,,,,,,,,,,193.41,221.53,226.67,221.12,247.16
2010-10-10 22:07:36.102000,L5,308.39,286.72,281.22,278.69,301.43,321.60,316.49,296.01,275.58,332.38,340.48,321.33,336.94,309.93,329.73,346.82,323.63,253.14,324.67,345.29,318.22,337.35,325.49,321.34,310.85,292.71,282.60,308.27,322.77,355.27,355.59,357.02,353.56,371.54
2010-11-27 22:07:24.215000,L5,289.76,281.43,264.12,245.88,251.43,256.90,248.02,244.02,216.55,204.19,262.87,259.60,243.99,257.35,235.51,268.73,264.02,246.80,185.74,245.45,268.88,248.30,255.95,238.22,214.33,228.78,191.77,197.54,226.85,239.85,245.91,248.01,244.72,261.69
2011-09-11 22:06:09.236000,L5,269.36,262.52,245.48,239.85,241.28,259.49,245.53,242.91,203.53,199.06,254.58,251.12,237.89,232.09,219.64,249.41,245.47,231.45,,207.99,250.49,233.80,246.69,227.38,205.86,205.39,186.16,201.86,227.45,236.88,248.85,239.05,237.43,255.48
2013-04-25 22:19:21.025000,L8,332.15,307.24,308.92,293.07,279.97,281.47,276.56,269.50,284.55,282.25,273.28,294.74,339.08,347.89,342.56,340.89,337.82,327.09,327.02,336.72,339.93,331.87,323.87,310.16,316.27,368.37,353.28,328.55,310.23,313.13,280.46,289.28,286.14,290.13
2013-05-11 22:19:31.249000,L8,294.43,278.92,265.50,255.67,258.05,265.08,260.94,263.45,262.01,240.01,254.52,262.20,252.54,283.52,270.08,219.67,274.09,245.47,268.05,261.75,260.38,237.67,270.96,263.77,252.33,260.98,243.12,194.36,236.90,284.21,262.81,252.90,241.11,259.60
2013-06-28 22:19:33.252000,L8,295.15,280.89,267.62,264.15,262.49,271.06,267.95,268.17,272.00,241.78,249.55,263.48,256.64,287.85,219.62,212.57,273.72,282.65,220.26,303.06,252.49,238.15,307.94,265.28,252.58,264.32,248.61,239.52,248.35,289.10,263.31,252.49,239.70,261.74
2013-08-31 22:19:38.558000,L8,295.14,278.19,263.93,256.82,257.88,268.44,263.85,259.23,269.32,237.94,257.81,287.74,254.41,283.78,220.53,214.10,274.49,279.33,215.56,238.66,246.88,237.46,304.93,262.79,248.23,264.47,202.91,198.98,231.69,271.30,260.97,249.34,234.79,261.08
2013-10-18 22:19:25.762000,L8,296.31,283.11,264.90,252.75,254.09,261.21,258.16,248.28,220.21,200.88,247.41,257.83,246.01,273.51,220.19,208.49,271.95,239.39,185.15,231.80,233.38,232.19,265.76,236.37,228.46,224.50,185.40,188.02,221.58,253.56,242.86,237.27,225.62,254.01
2013-11-03 22:19:20.378000,L8,291.86,299.82,261.50,255.30,253.91,264.16,260.64,253.42,261.70,237.45,257.27,266.42,252.16,276.17,220.56,218.24,275.54,269.57,177.79,237.97,239.40,237.80,281.53,238.71,244.63,266.75,259.46,263.15,229.68,265.04,252.28,242.01,230.99,256.86
2013-12-05 22:19:13.005000,L8,302.22,305.25,454.81,261.23,265.70,257.79,251.14,248.37,226.47,226.03,264.34,282.02,290.10,283.35,297.29,311.82,276.66,233.23,176.19,288.25,287.80,299.87,302.64,271.40,286.61,291.85,281.85,273.85,251.96,278.62,247.88,239.33,231.48,525.34
