dates,satname,nzd0097-0000,nzd0097-0001,nzd0097-0002,nzd0097-0003,nzd0097-0004,nzd0097-0005,nzd0097-0006,nzd0097-0007,nzd0097-0008,nzd0097-0009,nzd0097-0010,nzd0097-0011,nzd0097-0012,nzd0097-0013,nzd0097-0014,nzd0097-0015,nzd0097-0016,nzd0097-0017,nzd0097-0018,nzd0097-0019,nzd0097-0020,nzd0097-0021,nzd0097-0022,nzd0097-0023,nzd0097-0024,nzd0097-0025,nzd0097-0026,nzd0097-0027,nzd0097-0028
1999-08-26 22:04:44.971000,L7,399.77,361.50,325.32,298.75,327.37,326.42,332.85,340.52,347.65,378.65,358.68,358.26,360.39,357.01,363.98,316.70,355.00,348.60,350.69,350.16,354.53,342.00,339.02,341.52,335.39,336.51,340.08,326.21,390.40
1999-09-27 22:04:48.949000,L7,395.21,411.80,409.95,396.38,390.08,385.48,386.56,414.21,404.79,404.52,410.22,409.65,407.50,406.26,403.39,401.95,392.39,394.03,388.80,382.08,384.98,391.01,386.41,382.51,380.16,378.86,378.90,375.21,386.87
1999-11-14 22:04:42.286000,L7,425.75,413.40,420.09,403.36,385.46,387.03,395.83,396.69,403.40,416.96,414.41,416.68,417.83,428.25,427.62,413.68,401.13,392.48,388.29,383.83,388.99,396.42,389.32,392.96,393.49,383.53,391.31,177.60,399.35
2000-01-01 22:04:37.439000,L7,246.40,278.91,305.84,266.51,256.51,235.32,231.70,252.39,274.37,238.70,259.61,290.13,385.72,285.84,294.39,,,,,,,,,,,,301.50,207.52,315.26
2000-01-17 22:04:35.821000,L7,432.70,411.96,409.42,460.25,405.07,400.42,421.99,391.31,455.84,480.42,484.82,451.54,497.81,517.01,443.42,459.53,429.25,376.12,377.90,379.04,382.24,383.80,371.50,372.41,369.50,377.20,375.79,383.16,393.06
2000-05-24 22:03:46.662000,L7,447.39,418.01,454.01,416.99,441.49,396.05,400.29,423.29,426.42,420.69,444.15,437.48,440.69,437.45,456.38,427.47,420.78,424.59,423.70,421.84,404.50,411.13,414.59,410.76,407.70,406.20,397.63,393.46,406.45
2000-07-11 22:03:17.779000,L7,,,,,,285.90,231.94,322.74,263.73,246.73,271.50,290.64,282.17,284.08,296.28,293.76,288.69,290.30,247.56,180.21,270.26,272.87,274.83,292.13,263.48,290.12,269.42,291.44,294.26
2000-08-12 22:02:54.094000,L7,447.20,467.49,450.27,424.67,429.12,394.10,401.90,404.84,406.09,408.95,411.27,434.21,453.37,419.02,423.08,437.40,477.22,415.10,400.20,396.26,400.69,398.92,392.80,387.90,392.50,383.19,385.38,386.40,454.97
2000-09-13 22:02:26.190000,L7,394.48,405.48,227.07,362.85,405.95,435.93,411.00,374.01,369.99,281.88,434.05,439.40,409.45,382.66,387.99,377.15,443.83,441.59,416.42,378.48,360.56,350.63,362.05,342.81,333.66,357.34,459.29,,
2000-10-15 22:01:56.204000,L7,,530.71,444.02,331.45,480.70,274.24,,547.76,214.96,214.85,,,,,,225.71,252.03,220.23,230.46,316.31,323.18,342.08,349.53,356.17,427.09,534.79,527.90,464.61,392.94
