dates,satname,nzd0157-0000,nzd0157-0001,nzd0157-0002,nzd0157-0003,nzd0157-0004,nzd0157-0005,nzd0157-0006,nzd0157-0007,nzd0157-0008,nzd0157-0009,nzd0157-0010,nzd0157-0011,nzd0157-0012,nzd0157-0013,nzd0157-0014
1999-10-22 21:58:28.758000,L7,320.36,300.32,307.29,308.55,300.16,302.62,309.07,295.70,305.60,300.90,307.89,312.56,278.97,260.14,287.83
1999-12-09 21:58:33.708000,L7,324.60,302.49,312.43,312.38,303.10,305.39,310.54,294.00,303.15,302.14,308.35,313.50,281.39,290.55,287.56
1999-12-09 21:58:57.676000,L7,323.94,301.85,312.38,311.63,302.50,304.43,309.89,293.41,303.63,298.75,307.40,312.41,280.44,290.23,286.40
2000-02-27 21:58:16.566000,L7,348.31,326.95,227.50,227.55,190.25,,,298.81,298.29,286.74,302.24,306.48,257.51,,
2000-03-14 21:58:11.336000,L7,319.33,300.12,309.46,311.35,301.68,305.16,310.49,295.70,305.58,302.92,308.53,312.94,281.36,291.68,250.77
2000-03-14 21:58:35.291000,L7,318.05,299.85,308.34,310.82,301.12,304.85,309.94,295.40,305.49,299.37,308.12,312.50,280.19,291.63,287.07
2000-03-30 21:58:09.573000,L7,324.86,299.69,311.18,312.00,303.62,307.29,313.44,300.74,307.98,302.47,308.75,313.97,296.27,290.38,289.59
2000-03-30 21:58:33.541000,L7,316.97,294.18,306.34,307.80,299.35,303.92,309.29,295.87,301.12,298.81,303.11,309.87,281.58,,
2000-08-05 21:56:44.750000,L7,278.98,231.49,308.85,302.84,301.41,297.70,307.41,292.97,303.20,294.95,301.89,,,,
2000-08-05 21:57:08.715000,L7,312.59,294.64,307.96,302.49,301.87,298.14,303.55,293.23,302.44,295.45,301.12,301.66,273.78,,
2000-09-22 21:56:05.544000,L7,,,,301.33,295.89,292.15,301.74,252.36,292.59,289.50,298.14,301.55,274.21,259.43,218.44
2000-09-22 21:56:29.431000,L7,,,,299.26,295.07,294.19,299.29,244.79,293.51,289.21,295.39,298.63,282.55,255.72,180.88
2000-12-11 21:56:00.959000,L7,318.88,242.26,312.54,312.27,302.91,305.70,310.66,295.57,302.42,299.06,305.70,310.47,275.14,273.28,283.08
2001-01-12 21:56:06.772000,L7,317.20,294.68,312.20,309.80,303.46,304.72,308.99,296.67,303.90,298.70,303.30,304.87,272.36,248.71,275.25
2001-01-12 21:56:30.696000,L7,313.26,242.36,312.38,310.20,303.53,304.35,308.03,296.56,303.67,293.66,299.61,303.64,259.87,,
2001-02-13 21:56:03.778000,L7,321.82,299.40,311.92,308.13,303.26,301.61,307.45,302.43,299.84,291.12,301.80,290.44,270.80,,
2001-03-01 21:55:57.624000,L7,,298.64,311.49,308.63,300.57,302.81,307.69,303.32,301.91,214.29,304.63,309.74,280.81,265.88,283.33
2001-03-01 21:56:21.596000,L7,,303.56,310.58,309.46,301.14,303.11,308.26,303.10,303.23,216.36,304.91,309.54,284.87,265.73,283.10
2001-06-21 21:55:05.323000,L7,324.78,300.60,306.26,307.50,297.84,296.74,306.63,293.51,295.86,298.88,305.32,306.18,299.77,,
2001-06-21 21:55:29.297000,L7,323.01,298.60,302.85,306.37,296.73,293.03,298.78,290.22,293.12,296.76,299.18,302.93,236.56,,
2001-08-24 21:54:24.664000,L7,,343.67,311.52,315.75,310.16,320.08,321.78,312.39,314.67,307.01,313.78,318.50,347.78,309.39,338.74
2001-08-24 21:54:48.593000,L7,,,297.93,293.91,281.39,,,,245.53,262.92,272.10,292.06,194.59,,
2001-09-09 21:54:12.928000,L7,325.07,303.92,311.78,312.28,303.74,303.20,309.35,298.76,302.14,300.50,308.04,310.94,284.62,268.09,287.35
2001-09-09 21:54:36.880000,L7,324.69,307.68,316.51,313.99,312.53,308.89,311.31,308.48,307.41,311.38,318.87,317.92,288.32,280.58,302.92
2001-09-25 21:54:04.740000,L7,325.24,302.74,313.44,310.59,302.67,302.14,307.60,292.64,243.14,289.57,304.50,305.15,272.36,263.56,285.84
2001-09-25 21:54:28.694000,L7,421.24,408.13,401.37,404.55,386.02,389.12,394.01,396.47,407.92,393.04,401.48,392.17,388.66,440.12,464.45
2001-10-11 21:53:46.024000,L7,328.55,302.07,309.23,310.99,301.86,304.61,310.22,298.49,298.88,300.40,305.18,305.04,282.34,261.52,288.25
2001-10-11 21:54:09.862000,L7,328.67,302.17,310.39,311.20,301.87,304.90,310.61,298.48,298.33,300.35,307.02,305.68,283.36,262.00,288.33
2001-12-30 21:54:13.275000,L7,269.45,266.35,,266.62,249.49,305.37,298.86,301.42,241.26,282.03,292.15,,,,
2001-12-30 21:54:37.254000,L7,382.19,373.90,387.83,399.53,424.66,344.16,361.78,323.77,328.37,315.52,480.73,382.71,393.95,357.37,352.70
2002-01-15 21:54:23.534000,L7,287.64,225.52,236.42,221.96,302.66,303.87,313.80,293.32,290.37,280.22,276.92,290.92,,268.21,282.11
2002-02-16 21:54:54.191000,L7,324.62,321.75,319.46,323.41,325.65,319.92,313.15,339.19,304.52,329.11,242.93,202.28,183.28,,
2002-03-20 21:54:24.081000,L7,,,493.58,405.74,548.44,407.71,309.82,310.36,431.86,438.99,428.70,440.70,303.98,281.32,292.90
2002-03-20 21:54:48.224000,L7,,,490.51,404.28,528.04,408.79,307.89,308.90,429.69,312.29,306.37,311.98,302.40,279.94,291.06
2002-08-27 21:53:36.267000,L7,325.94,306.28,313.53,312.46,305.93,305.96,314.99,302.71,307.98,305.29,309.02,310.65,289.50,265.92,290.98
2002-08-27 21:54:00.253000,L7,332.28,318.52,321.04,321.54,319.51,319.21,322.10,318.29,320.52,320.26,322.69,323.40,305.39,284.79,308.54
2002-10-14 21:53:19.813000,L7,325.97,301.49,312.92,311.26,303.44,305.08,311.57,297.54,305.14,300.82,308.13,313.87,284.80,260.06,288.46
2002-10-14 21:53:43.769000,L7,323.87,298.70,312.35,310.05,303.01,304.68,310.21,297.41,305.30,300.26,307.81,313.49,282.70,260.03,289.35
2002-10-30 21:53:25.867000,L7,,,,,,,,284.77,289.20,284.16,299.23,301.91,266.16,249.02,283.44
2002-12-01 21:53:52.985000,L7,274.57,257.16,308.81,,,300.53,275.06,285.86,304.54,296.01,232.04,,,,283.54
2002-12-01 21:54:16.937000,L7,,,,,,297.50,271.99,,278.52,253.32,228.59,,,,270.68
2003-01-18 21:54:06.301000,L7,323.50,310.65,313.29,311.25,303.67,304.70,309.36,299.52,304.19,298.16,306.87,310.94,282.17,266.63,287.86
2003-01-18 21:54:30.278000,L7,408.61,381.88,388.16,394.64,381.95,392.55,413.21,431.64,428.62,402.42,339.14,345.35,347.83,406.72,381.27
2003-02-19 21:54:18.740000,L7,328.67,307.16,315.62,307.92,304.85,301.31,307.59,306.98,311.04,306.70,305.03,296.49,469.16,441.78,
2003-03-23 21:54:16.760000,L7,,481.61,419.83,418.00,388.83,312.49,319.17,386.08,408.13,319.11,320.56,327.19,308.66,306.92,294.04
2003-03-23 21:54:40.711000,L7,,429.29,418.67,418.60,388.99,312.41,318.98,385.27,408.24,319.14,320.47,327.04,308.02,305.96,294.18
2003-05-10 21:54:22.508000,L7,323.07,296.49,308.24,297.92,303.03,302.04,307.75,296.37,303.64,304.31,,,,,
2003-05-10 21:54:46.466000,L7,418.95,405.62,402.42,405.53,395.82,386.75,393.81,400.19,393.87,399.21,385.69,389.46,399.96,369.21,324.29
2003-05-26 21:54:19.958000,L7,367.74,299.95,310.80,301.28,301.69,305.63,311.32,300.68,305.57,300.17,308.85,307.82,287.46,287.83,300.91
