dates,satname,nzd0167-0000,nzd0167-0001,nzd0167-0002,nzd0167-0007,nzd0167-0008,nzd0167-0009,nzd0167-0010,nzd0167-0003,nzd0167-0004,nzd0167-0005,nzd0167-0006
1999-09-27 22:04:48.949000,L7,299.30,309.50,286.03,236.72,302.84,292.78,299.42,,,,
1999-12-25 21:58:52.197000,L7,338.52,340.00,333.97,334.72,331.55,328.83,338.63,336.21,252.28,213.30,341.77
2000-10-15 22:01:56.204000,L7,,305.95,221.10,,,,,,,,
2000-11-09 21:56:21.390000,L7,298.63,305.55,238.44,290.34,306.53,312.47,300.12,221.11,251.76,213.32,
2001-01-03 22:02:12.432000,L7,298.21,291.78,238.33,278.25,305.73,298.71,300.71,209.85,250.70,216.88,
2001-03-01 21:56:21.596000,L7,297.59,316.52,286.15,293.03,300.53,297.20,299.44,224.68,214.99,216.22,291.23
2001-03-17 21:56:16.575000,L7,295.30,306.73,280.18,,,253.64,297.19,,,,
2001-03-24 22:01:59.719000,L7,298.92,312.90,173.03,276.25,300.94,291.53,300.69,225.32,260.91,235.55,281.14
2001-09-09 21:54:36.880000,L7,299.51,316.48,288.98,287.83,301.23,296.05,299.73,211.83,257.48,216.02,289.01
2001-10-02 22:00:04.650000,L7,,308.33,278.41,,,,,,,,
2001-10-11 21:54:09.862000,L7,289.95,305.15,265.50,,,288.80,260.28,,,,
2001-12-30 21:54:37.254000,L7,299.88,310.87,283.50,335.15,299.64,293.84,300.21,207.30,180.08,257.64,347.25
2002-01-22 22:00:40.906000,L7,295.21,309.13,284.32,270.95,296.64,298.27,297.44,,,,269.28
2002-02-16 21:54:54.191000,L7,,243.14,212.21,,,,,,,,
2002-08-27 21:54:00.253000,L7,288.79,313.43,280.06,278.61,291.27,290.17,290.74,,,,
2002-10-14 21:53:43.769000,L7,290.94,313.28,284.35,282.11,293.46,298.23,294.93,205.54,250.91,249.96,277.18
2002-10-21 21:59:36.443000,L7,293.45,319.59,283.60,286.30,299.62,300.37,297.32,,,,
2002-12-01 21:54:16.937000,L7,,312.98,262.45,233.21,292.91,,,,,,
2003-01-18 21:54:30.278000,L7,290.50,307.81,280.43,,223.16,269.26,294.03,,,,
2003-01-25 22:00:18.779000,L7,290.61,310.78,283.65,282.46,296.24,292.02,294.34,208.46,239.13,217.90,280.69
2003-08-13 21:48:45.123000,L5,317.20,311.39,283.11,259.76,287.44,270.60,315.85,,,,
2003-09-30 21:49:30.432000,L5,316.39,321.27,190.64,255.82,285.08,286.15,316.25,,,,
2003-10-25 21:44:04.226000,L5,306.96,323.17,297.31,255.07,270.15,266.03,306.91,,,,
2003-11-17 21:50:09.452000,L5,326.10,308.06,291.12,272.51,293.95,283.14,326.49,,,233.13,205.18
2004-02-14 21:44:57.678000,L5,313.12,320.92,290.94,275.52,283.71,283.83,312.88,,178.47,221.35,190.98
2004-03-17 21:45:08.368000,L5,,300.20,,,,,,,,,
2004-04-02 21:45:18.969000,L5,315.86,315.78,292.28,,287.35,287.90,315.65,,,,
2004-04-18 21:45:49.558000,L5,302.73,303.84,,,,208.35,303.42,,,,
2004-05-20 21:46:44.438000,L5,,310.48,,,,,,,,,
2004-07-23 21:48:33.165000,L5,312.90,325.48,290.90,,274.73,274.33,312.39,,,,
2004-08-24 21:49:18.016000,L5,,322.42,293.18,,,,,,,,
2004-09-25 21:50:07.312000,L5,,322.11,292.54,,,,,,,,
2004-10-18 21:56:23.891000,L5,319.94,322.53,298.48,286.71,298.09,289.07,319.73,,211.78,228.99,221.72
2004-11-03 21:56:42.977000,L5,,310.73,238.68,,,,,,,,
2005-01-15 21:52:09.437000,L5,306.47,324.11,294.44,,270.22,273.44,306.17,,,,
2005-01-22 21:58:02.481000,L5,,307.16,,,,,,,,,
2005-03-11 21:58:44.158000,L5,,290.85,,,,,,,,,
2005-04-12 21:58:55.193000,L5,309.73,322.28,289.96,261.92,290.72,285.62,309.27,,,,204.35
2005-04-21 21:53:10.893000,L5,,308.52,,,,,,,,,
2005-11-22 22:00:23.113000,L5,329.54,315.07,289.52,271.54,302.93,284.05,329.65,,214.30,234.86,227.27
2006-02-03 21:56:19.035000,L5,,315.00,287.03,,,,,,,,
2006-02-19 21:56:39.909000,L5,318.38,313.86,223.76,270.10,295.59,282.62,318.49,,,233.25,207.02
2006-08-21 22:05:19.629000,L5,,325.92,292.91,,,,,,,,
2006-12-11 22:06:52.177000,L5,265.73,296.05,,226.13,260.91,277.42,,,,,
2007-02-13 22:06:47.368000,L5,315.75,301.25,,291.66,291.48,278.95,315.07,,204.02,235.01,202.30
2007-09-25 22:04:48.945000,L5,306.32,335.32,302.45,282.27,289.66,290.89,306.70,,,,206.78
2008-10-29 21:55:24.451000,L5,,323.16,291.33,,,,,,,,
2008-12-25 21:50:34.359000,L5,298.00,312.02,,285.58,286.02,281.91,297.33,,,,
2009-02-02 21:57:22.411000,L5,,289.89,,,,,,,,,
2009-11-26 21:56:28.873000,L5,298.70,319.71,293.73,267.53,277.29,281.77,296.84,,,,
2010-01-13 21:56:49.389000,L5,299.70,315.69,,272.12,213.97,264.68,300.39,,,,
2010-01-29 21:56:53.427000,L5,,292.05,,,,,,,,,
2010-02-21 22:02:44.773000,L5,304.67,304.90,,257.57,274.73,235.52,306.18,,,,
2010-10-28 21:55:51.312000,L5,,317.05,224.27,,,,,,,,
2010-12-31 21:55:56.533000,L5,,310.15,,,,,,,,,
2011-01-07 22:01:44.406000,L5,,309.19,,,,,,,,,
2011-02-17 21:56:00.979000,L5,,314.70,,,,,,,,,
2011-09-04 22:00:27.603000,L5,,319.24,,,,,,,,,
2013-05-20 22:13:50.559000,L8,,313.53,,,,,,,,,
2013-06-05 22:13:51.261000,L8,,302.77,,,,,,,,,
2013-08-17 22:08:03.120000,L8,,168.95,,,,,,,,,
2013-09-02 22:07:40.639000,L8,,303.87,,,,,,,,,
2013-09-02 22:08:04.598000,L8,306.37,313.54,247.57,314.75,296.58,313.36,308.49,,,,326.22
2013-10-11 22:13:41.596000,L8,281.71,311.23,,,289.38,304.59,270.31,,,,
2013-11-05 22:07:46.855000,L8,257.46,311.46,,233.79,296.33,233.54,201.80,,,,
2013-11-12 22:13:32.202000,L8,309.52,315.89,280.07,317.05,309.20,313.59,307.13,318.09,310.49,269.56,269.41
2013-11-21 22:07:37.752000,L8,308.64,317.37,280.62,308.41,310.77,314.76,309.62,,,250.93,319.56
2013-12-14 22:13:21.591000,L8,297.73,308.55,229.08,237.35,291.10,309.08,298.46,,,,
2013-12-30 22:13:13.343000,L8,,306.87,234.36,,,,,,,,
2014-01-24 22:07:09.509000,L8,,293.84,,,,,,,,,
2014-01-31 22:12:52.806000,L8,307.89,309.65,232.16,306.57,308.81,311.55,309.74,,,,
2014-02-09 22:06:57.254000,L8,292.04,307.99,,300.90,301.75,308.39,296.16,,,,
2014-02-16 22:12:38.819000,L8,,290.36,,,,,,,,,
2014-04-05 22:12:22.648000,L8,,300.56,,,,,,,,,
2014-10-14 22:12:02.705000,L8,296.73,304.47,210.02,285.78,301.03,307.83,207.52,,,,
2014-11-08 22:06:16.124000,L8,,282.21,,,,,,,,,
2014-12-01 22:12:00.318000,L8,279.77,296.57,219.77,,214.67,305.27,274.37,,,,
2015-01-02 22:11:50.958000,L8,290.80,307.58,242.12,277.37,303.71,310.49,304.60,,,,
2015-02-12 22:05:51.250000,L8,314.27,320.95,287.56,326.05,320.63,314.71,314.88,324.27,318.87,272.42,335.85
2015-02-28 22:05:48.437000,L8,277.16,291.14,,,286.97,284.42,,,,,
2015-03-07 22:11:30.209000,L8,292.22,306.04,229.88,282.19,298.42,302.78,296.58,,,,
2015-04-01 22:05:25.791000,L8,,290.84,,,,,,,,,
2015-04-24 22:11:08.401000,L8,289.56,304.66,,,293.48,285.37,270.82,,,,
2015-08-23 22:05:48.569000,L8,,288.00,,,,,,,,,
2015-09-24 22:06:01.750000,L8,407.68,448.08,403.14,411.23,362.88,355.30,411.28,408.82,475.60,420.35,415.01
2016-02-22 22:11:42.580000,L8,286.20,307.42,,276.85,297.24,308.73,260.68,,,,
2016-03-02 22:05:55.525000,L8,277.48,304.62,,,291.36,300.01,205.55,,,,
2016-08-16 22:11:53.694000,L8,281.69,310.18,,279.67,299.81,309.81,279.19,,,,
2016-09-10 22:06:15.488000,L8,278.30,174.07,,277.67,283.65,305.87,,,,,
2016-10-28 22:06:23.178000,L8,,305.41,,,,,,,,,
2017-01-16 22:06:11.085000,L8,283.34,,,240.85,293.80,288.93,259.85,,,,
2017-03-05 22:05:50.977000,L8,286.06,311.03,240.23,278.41,297.32,308.25,288.28,,,,
2017-04-06 22:05:33.966000,L8,,302.75,,,,,,,,,
2017-08-03 22:11:47.949000,L8,,300.58,,,,,,,,,
2017-08-19 22:11:53.133000,L8,288.67,315.02,,306.55,298.68,312.34,229.53,,,,
2017-09-04 22:11:55.578000,L8,282.45,313.92,,292.48,290.36,312.93,275.74,,,,
2017-12-02 22:06:10.894000,L8,282.91,307.07,,273.48,285.81,307.89,276.69,,,,
2018-04-25 22:05:14.903000,L8,,301.43,,,,,,,,,
2018-05-02 22:10:57.873000,L8,,304.66,,,,,,,,,
2018-08-06 22:11:10.291000,L8,,304.83,,,,,,,,,
2018-09-07 22:11:24.397000,L8,,302.70,,,,,,,,,
