dates,satname,nzd0169-0000,nzd0169-0001,nzd0169-0002
1999-12-25 21:58:52.197000,L7,,305.79,216.19
2001-01-03 22:02:12.432000,L7,,,211.71
2001-01-12 21:56:30.696000,L7,,307.08,269.10
2001-03-01 21:56:21.596000,L7,,306.58,215.61
2001-03-17 21:56:16.575000,L7,312.00,308.86,215.03
2001-09-09 21:54:36.880000,L7,213.23,307.87,274.17
2001-12-30 21:54:37.254000,L7,,306.54,267.94
2002-01-22 22:00:40.906000,L7,,308.45,264.98
2003-01-18 21:54:30.278000,L7,,,209.85
2003-03-23 21:54:40.711000,L7,306.33,303.93,296.03
2003-10-25 21:44:04.226000,L5,274.07,250.51,268.36
2004-02-14 21:44:57.678000,L5,260.29,240.00,220.44
2004-02-21 21:50:47.082000,L5,241.47,248.97,225.26
2004-03-17 21:45:08.368000,L5,245.34,238.10,207.43
2004-08-24 21:49:18.016000,L5,259.34,233.36,211.81
2004-11-03 21:56:42.977000,L5,262.95,244.16,227.42
2005-02-23 21:58:31.621000,L5,242.85,230.89,205.38
2005-04-21 21:53:10.893000,L5,249.07,,
2005-11-22 22:00:23.113000,L5,238.49,,
2006-02-19 21:56:39.909000,L5,245.20,,
2006-04-08 21:57:36.601000,L5,255.31,,
2007-09-25 22:04:48.945000,L5,,267.36,305.69
2010-12-31 21:55:56.533000,L5,214.76,265.85,235.71
2013-04-11 22:08:15.067000,L8,,,214.73
2013-09-02 22:08:04.598000,L8,,,213.02
2013-11-05 22:07:46.855000,L8,209.75,315.36,
2013-12-14 22:13:21.591000,L8,,,216.77
2014-02-09 22:06:57.254000,L8,,,212.26
2014-02-16 22:12:38.819000,L8,201.03,314.51,215.52
2015-02-12 22:05:51.250000,L8,,,212.47
2015-07-22 22:05:37.569000,L8,,,213.71
2016-02-22 22:12:06.535000,L8,215.92,256.98,220.73
2016-09-10 22:06:15.488000,L8,272.21,314.56,269.98
2017-01-16 22:06:11.085000,L8,206.66,258.65,215.65
2017-05-08 22:05:23.284000,L8,,,213.30
2017-08-19 22:11:53.133000,L8,,,215.45
2017-12-02 22:06:10.894000,L8,,,215.13
2018-08-31 22:05:35.273000,L8,,,217.88
2018-09-07 22:11:24.397000,L8,,,220.17
2018-10-18 22:05:53.709000,L8,166.49,313.66,218.12
2019-02-07 22:05:47.667000,L8,166.63,175.83,222.14
2019-02-14 22:11:33.473000,L8,,,213.85
2019-03-02 22:11:29.304000,L8,,,219.85
2019-11-29 22:12:32.100000,L8,220.80,249.29,219.93
2020-02-01 22:11:53.781000,L8,,,219.67
2020-02-10 22:06:04.888000,L8,184.31,307.50,220.36
2020-03-13 22:05:54.202000,L8,188.12,310.02,272.21
2020-12-26 22:06:20.557000,L8,166.54,284.04,221.40
2021-02-03 22:12:20.196000,L8,,,219.44
2021-02-12 22:06:07.348000,L8,217.93,312.36,226.52
2021-03-23 22:11:37.336000,L8,,,221.86
2021-11-18 22:12:32.734000,L8,278.86,317.76,227.34
2022-01-21 22:12:23.867000,L8,224.49,306.30,224.50
2022-01-22 22:06:18.213000,L9,343.65,333.01,341.28
2022-04-28 22:05:47.053000,L9,,,219.25
2022-10-21 22:06:05.581000,L9,,314.91,222.74
2022-10-21 22:06:29.540000,L9,261.05,316.26,223.93
2022-12-24 22:06:26.081000,L9,,,220.38
2023-02-25 22:11:52.258000,L8,205.30,251.54,222.68
2023-03-30 22:05:59.281000,L9,,,220.53
2023-04-07 22:05:40.262000,L8,,,220.35
2023-09-05 22:11:46.771000,L8,241.30,319.09,224.49
2023-10-08 22:05:46.354000,L9,207.85,198.23,223.47
2023-11-08 22:12:20.984000,L8,280.70,313.06,226.88
2024-01-12 22:06:18.916000,L9,276.42,311.15,282.78
2024-01-28 22:06:18.213000,L9,209.14,307.67,227.04
2024-02-20 22:12:20.045000,L9,222.62,251.99,219.67
2024-02-29 22:05:47.517000,L9,,,224.85
2024-03-15 22:12:01.931000,L8,,253.33,222.75
2024-09-08 22:05:48.031000,L9,246.33,309.50,281.35
2024-12-13 22:05:46.012000,L9,172.26,308.68,224.94
2024-12-28 22:12:14.654000,L8,,257.83,224.03
2025-05-06 22:05:42.584000,L9,,261.10,
