dates,satname,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059
1999-08-12 21:52:44.265000,L7,,,,,,,,,,,,,263.60,264.01,235.19,228.35,232.52,,253.70,,226.68,248.17,265.22,239.02,212.36,,,,,275.78,287.06,284.59,272.97,,,218.51,225.84,238.57,252.85,183.41,,,,,,,,,,,,,,,,,,,,
1999-08-21 21:46:33.053000,L7,,,,,,252.47,242.14,261.93,259.46,276.37,275.45,260.77,278.35,287.40,280.70,266.14,270.08,278.62,281.51,242.82,278.67,284.01,284.51,285.19,214.26,,256.24,287.66,273.58,294.71,300.13,295.52,290.51,293.32,212.95,285.03,285.15,276.10,269.22,273.51,223.22,180.54,,,,,,,,,,,,,,,,,,
1999-09-22 21:46:36.849000,L7,338.60,332.94,297.52,295.72,299.19,303.94,306.24,312.71,316.94,319.58,327.68,332.76,338.15,347.12,339.01,337.13,335.65,336.77,337.09,336.26,336.21,336.63,337.85,339.65,340.53,340.78,341.09,344.55,348.46,348.90,351.08,348.30,343.19,342.13,340.89,338.71,331.41,327.67,328.62,327.15,316.32,288.13,273.51,290.43,284.53,299.65,322.31,314.41,322.97,303.11,303.65,328.98,329.48,304.29,299.98,292.16,292.63,323.04,343.14,296.50
1999-09-29 21:52:52.243000,L7,386.37,385.18,378.60,379.27,383.10,396.39,394.43,388.33,396.87,400.37,397.42,404.08,427.31,427.31,425.82,415.24,411.13,407.55,407.72,428.27,406.37,403.34,410.29,411.90,416.32,416.69,410.80,422.84,423.00,429.78,441.26,436.54,425.13,407.18,415.85,427.37,416.14,414.13,406.99,409.11,397.21,389.40,379.79,376.00,373.83,385.28,391.59,383.84,378.30,377.93,394.64,387.92,377.40,378.79,378.14,392.32,372.12,381.59,376.99,373.41
1999-10-15 21:52:49.322000,L7,382.95,386.91,381.14,376.77,380.24,378.33,381.37,385.41,394.63,394.86,403.55,405.92,416.48,422.03,423.56,421.93,416.25,400.70,401.70,401.36,401.08,402.61,404.61,414.79,414.47,409.83,413.71,415.43,411.39,412.97,414.70,417.37,411.56,418.88,424.20,410.94,409.02,425.26,407.76,394.76,380.97,385.79,375.43,369.23,385.01,395.16,405.94,381.84,360.06,354.08,367.33,405.71,444.77,424.12,436.74,388.50,382.50,408.70,384.84,381.37
1999-10-24 21:46:32.266000,L7,342.57,332.69,313.05,305.25,312.70,323.36,321.90,330.41,334.91,346.73,343.81,346.77,352.76,362.54,360.99,360.95,354.15,352.57,350.67,354.60,357.67,353.41,349.76,347.30,347.77,348.10,354.04,358.49,357.63,360.94,367.58,359.18,361.27,361.84,352.68,353.77,346.04,344.68,344.36,342.69,333.40,296.80,278.37,300.88,286.73,305.37,334.20,333.35,338.46,330.92,333.36,351.00,339.80,318.59,302.40,309.19,303.39,342.10,351.76,349.12
2000-02-04 21:52:37.377000,L7,329.74,324.25,288.85,286.40,293.55,298.15,298.33,301.00,310.09,314.03,319.88,318.55,326.39,339.97,333.94,330.59,327.96,330.12,329.51,329.90,333.13,331.48,333.30,334.69,337.97,341.26,338.39,336.96,340.97,341.12,346.00,341.60,335.28,335.16,332.59,325.09,326.56,318.98,324.93,322.52,312.18,287.35,269.75,288.01,281.67,296.49,327.55,312.29,318.13,317.64,311.02,337.08,331.23,301.74,289.37,287.27,299.57,337.71,338.59,311.68
2000-02-20 21:52:29.720000,L7,334.60,341.77,327.50,301.96,322.61,307.64,308.89,325.69,324.35,332.03,335.99,341.20,348.16,353.03,349.17,348.38,336.97,338.50,335.88,334.05,339.39,341.61,337.62,339.56,340.02,346.41,349.26,356.62,350.90,348.04,352.88,350.36,349.19,352.94,338.97,334.55,333.10,329.95,329.81,324.65,317.96,271.24,252.63,287.76,287.18,312.05,332.74,326.19,325.41,323.28,326.94,339.22,330.24,306.98,296.32,297.84,297.39,340.62,340.79,336.91
2000-03-16 21:46:15.139000,L7,349.12,329.76,305.74,292.71,301.62,304.48,300.46,311.46,311.75,323.39,325.00,332.60,332.68,344.43,339.61,335.58,342.58,331.92,332.27,331.63,335.40,333.44,332.81,337.17,337.12,339.68,339.43,340.75,346.48,345.68,349.55,343.63,345.03,341.11,341.12,338.70,335.68,332.18,332.77,325.27,314.73,271.56,252.81,285.48,277.00,290.56,326.38,323.06,327.31,321.49,321.71,339.85,332.68,313.42,287.98,283.42,288.26,338.82,336.52,284.78
2000-05-03 21:45:55.224000,L7,374.46,385.86,317.32,292.02,307.41,308.50,310.47,318.22,324.43,329.27,330.68,343.70,349.83,350.87,345.51,343.24,341.29,336.38,340.14,338.37,343.28,338.95,342.26,341.44,341.91,342.66,345.82,347.31,352.54,353.84,396.61,358.27,348.30,352.15,346.75,351.24,368.72,339.14,335.99,330.10,319.64,308.30,263.66,287.08,282.07,288.53,323.76,321.12,319.32,322.17,331.92,337.76,325.92,297.67,285.83,273.99,285.42,330.79,324.47,277.67
