dates,satname,nzd0359-0000,nzd0359-0001,nzd0359-0002,nzd0359-0003,nzd0359-0004,nzd0359-0005,nzd0359-0006,nzd0359-0007,nzd0359-0008,nzd0359-0009,nzd0359-0010,nzd0359-0011,nzd0359-0012,nzd0359-0013,nzd0359-0014,nzd0359-0015,nzd0359-0016,nzd0359-0017,nzd0359-0018,nzd0359-0019,nzd0359-0020,nzd0359-0021,nzd0359-0022,nzd0359-0023,nzd0359-0024,nzd0359-0025,nzd0359-0026,nzd0359-0030,nzd0359-0031,nzd0359-0032,nzd0359-0033,nzd0359-0034,nzd0359-0035,nzd0359-0036,nzd0359-0037,nzd0359-0038,nzd0359-0039,nzd0359-0040,nzd0359-0041,nzd0359-0042,nzd0359-0043,nzd0359-0044,nzd0359-0045,nzd0359-0046,nzd0359-0047,nzd0359-0048,nzd0359-0049,nzd0359-0050,nzd0359-0051,nzd0359-0052,nzd0359-0053,nzd0359-0054,nzd0359-0055,nzd0359-0056,nzd0359-0057,nzd0359-0058,nzd0359-0059,nzd0359-0060,nzd0359-0061,nzd0359-0062,nzd0359-0063,nzd0359-0064,nzd0359-0065,nzd0359-0066,nzd0359-0067,nzd0359-0068,nzd0359-0069,nzd0359-0070,nzd0359-0071,nzd0359-0072,nzd0359-0073,nzd0359-0074,nzd0359-0075,nzd0359-0076,nzd0359-0077,nzd0359-0078,nzd0359-0079,nzd0359-0080,nzd0359-0081,nzd0359-0082,nzd0359-0083,nzd0359-0084,nzd0359-0085,nzd0359-0086,nzd0359-0087,nzd0359-0088,nzd0359-0089,nzd0359-0090,nzd0359-0091,nzd0359-0092,nzd0359-0093,nzd0359-0094,nzd0359-0095,nzd0359-0096,nzd0359-0097,nzd0359-0098,nzd0359-0099,nzd0359-0100,nzd0359-0101,nzd0359-0102,nzd0359-0103,nzd0359-0104,nzd0359-0105,nzd0359-0106,nzd0359-0107,nzd0359-0108,nzd0359-0109,nzd0359-0110,nzd0359-0111,nzd0359-0113,nzd0359-0114,nzd0359-0115,nzd0359-0116,nzd0359-0117,nzd0359-0118,nzd0359-0119,nzd0359-0120,nzd0359-0121,nzd0359-0122,nzd0359-0123,nzd0359-0124,nzd0359-0129,nzd0359-0130,nzd0359-0131,nzd0359-0132,nzd0359-0149,nzd0359-0150,nzd0359-0151,nzd0359-0152,nzd0359-0153,nzd0359-0154,nzd0359-0155,nzd0359-0156,nzd0359-0157,nzd0359-0158,nzd0359-0159,nzd0359-0160,nzd0359-0161,nzd0359-0162,nzd0359-0163,nzd0359-0164,nzd0359-0165,nzd0359-0027,nzd0359-0029,nzd0359-0112,nzd0359-0125,nzd0359-0126,nzd0359-0127,nzd0359-0128,nzd0359-0133,nzd0359-0134,nzd0359-0135,nzd0359-0136,nzd0359-0137,nzd0359-0138,nzd0359-0139,nzd0359-0140,nzd0359-0141,nzd0359-0142,nzd0359-0143,nzd0359-0144,nzd0359-0145,nzd0359-0146,nzd0359-0147,nzd0359-0148,nzd0359-0166,nzd0359-0167,nzd0359-0168,nzd0359-0169,nzd0359-0028
1999-08-17 22:12:26.065000,L7,244.26,242.54,210.37,247.09,250.34,247.11,243.02,242.64,212.72,223.10,225.75,219.67,205.46,196.70,222.96,203.28,217.16,213.90,219.60,209.48,216.96,233.28,228.97,223.88,233.71,232.28,222.16,216.16,228.14,232.89,275.08,294.05,291.39,288.47,280.29,280.45,285.96,193.39,194.57,207.22,202.59,243.30,239.19,233.63,236.29,239.00,229.34,247.70,245.55,252.08,259.13,208.48,216.88,213.41,213.00,197.73,201.40,196.78,209.13,203.31,241.53,248.19,226.65,226.76,232.38,230.35,242.31,235.16,236.37,244.72,250.98,255.05,244.12,236.23,231.95,250.28,254.80,259.54,250.29,237.04,235.61,260.23,276.58,286.72,249.48,245.71,234.78,302.40,247.61,225.63,219.20,232.59,226.26,222.49,256.15,274.56,271.63,208.06,206.30,202.68,201.45,200.89,220.63,215.37,206.03,193.67,192.94,187.95,188.42,194.08,189.86,311.31,294.36,300.93,299.39,202.18,194.41,288.17,284.84,277.64,273.50,291.03,291.31,296.48,306.55,177.66,180.85,214.87,257.40,222.44,201.82,234.59,214.27,211.05,216.17,222.82,186.50,204.64,194.27,214.39,209.99,198.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-21 22:12:24.026000,L7,271.66,268.43,283.91,264.69,264.19,273.40,288.71,312.56,255.37,244.44,247.05,247.23,239.22,235.15,224.77,232.23,233.01,228.98,240.86,257.35,263.07,265.86,280.65,282.84,286.25,292.49,274.87,282.63,285.81,271.24,266.09,265.71,272.83,283.69,276.68,265.76,260.22,248.50,239.42,268.93,260.97,280.93,269.31,258.87,252.58,255.49,255.89,257.45,248.46,250.73,291.27,246.12,246.03,262.11,250.61,224.94,246.82,253.95,253.34,245.90,251.75,256.82,265.01,264.28,250.73,251.92,267.33,268.82,277.71,277.95,277.74,289.33,294.35,272.76,271.04,278.36,287.38,282.44,285.24,272.16,264.81,266.12,272.01,263.59,246.66,233.67,243.47,254.20,231.02,224.88,227.62,236.54,240.25,241.79,253.73,264.47,238.98,238.06,243.40,220.08,235.26,230.37,231.69,215.58,223.47,214.33,218.78,214.65,214.52,214.03,225.11,227.49,220.91,227.06,230.57,228.94,225.61,206.71,193.89,198.37,203.26,201.03,192.37,196.95,209.10,249.05,252.36,266.66,256.55,244.21,252.72,266.20,247.70,280.21,300.93,275.17,290.90,311.95,297.47,337.89,256.95,245.54,240.49,255.80,224.81,217.77,209.51,200.02,212.96,212.46,223.97,212.34,211.72,208.84,205.63,207.96,209.51,211.78,203.57,215.43,219.79,232.05,225.85,281.79,230.56,215.62,244.70,248.99,174.83,
2000-01-17 22:06:11.705000,L7,232.28,239.31,237.16,246.45,268.92,244.07,267.82,233.59,212.00,219.16,215.90,208.02,210.99,213.12,331.98,316.07,260.79,214.71,217.87,225.29,229.21,230.30,241.73,237.15,247.44,234.11,239.34,217.86,237.46,265.94,190.75,262.37,258.80,261.62,238.76,266.46,236.04,249.68,243.85,259.39,253.03,258.64,239.77,236.81,230.57,222.14,254.60,229.23,238.29,273.43,246.26,249.50,252.81,268.19,269.57,285.33,260.54,254.88,266.42,267.08,286.36,239.67,212.25,228.99,221.55,225.70,222.26,228.11,243.17,245.87,257.62,259.91,267.40,259.02,256.38,255.41,269.07,272.47,247.56,242.62,260.00,307.21,250.10,241.02,233.69,219.03,258.53,239.36,218.34,209.57,207.77,255.07,237.92,253.68,264.17,233.93,266.55,215.28,237.11,240.68,217.73,198.81,199.55,250.01,188.60,191.74,194.95,184.01,187.07,204.62,185.55,197.82,203.31,199.12,211.04,185.90,180.81,180.71,183.28,189.97,176.97,213.62,194.77,241.50,,183.28,194.49,192.73,277.52,252.28,212.69,260.87,228.29,256.24,233.67,289.70,238.49,188.23,179.21,229.54,220.18,173.93,201.83,,282.12,173.39,194.55,209.27,209.92,,,,,178.72,174.14,169.58,243.08,248.08,208.60,188.50,206.60,286.05,195.81,180.75,182.41,,,,,
2000-02-18 22:06:05.064000,L7,,,,,,,,,,,,,,,,,,,,187.94,202.79,218.86,232.23,,,,,,,,,,,,185.65,186.70,190.53,194.80,180.72,197.96,198.69,176.78,203.35,206.77,,,,,,,,,,,,,,,,,,,,,,,,,169.63,220.43,186.41,185.15,227.54,199.98,224.77,233.50,236.85,238.38,226.72,213.49,218.96,209.94,218.30,210.27,198.08,193.99,196.70,206.64,187.75,171.72,184.31,188.89,188.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21 22:06:01.097000,L7,223.66,240.89,248.29,232.74,225.16,214.37,231.13,191.24,173.49,203.82,220.98,229.07,230.39,237.70,194.70,205.35,215.05,246.71,200.83,195.25,207.78,240.57,215.45,225.61,254.69,260.73,223.66,,,,226.84,215.49,215.41,224.79,214.10,237.51,210.47,199.82,199.90,202.80,208.17,226.90,237.14,231.04,224.01,214.86,211.38,215.56,210.43,216.60,218.87,210.87,211.70,209.08,198.14,182.03,194.58,190.02,190.84,198.32,207.93,218.32,205.36,210.33,213.89,190.46,230.07,195.22,,,,,,,230.26,227.60,239.28,239.99,243.07,237.94,228.62,228.94,229.29,220.82,204.95,199.98,211.46,215.27,219.62,209.18,198.14,201.60,215.86,207.53,201.94,204.64,204.78,207.55,206.71,185.91,188.41,183.80,182.01,178.78,184.38,180.13,179.93,206.34,180.53,178.13,176.40,191.45,,,,,,,,,,,,,,,,174.09,179.65,176.49,179.17,186.67,185.96,186.07,203.82,209.84,204.31,216.45,208.74,203.78,197.30,197.07,182.71,,178.09,,,,,,,,,187.63,173.38,171.18,220.41,,,,,,,,,199.18,186.30,,,
2000-05-24 22:05:22.488000,L7,379.00,260.26,272.42,262.50,257.38,256.95,271.33,256.96,225.37,214.75,247.01,214.26,216.19,220.49,230.41,220.38,227.87,238.26,245.95,246.45,238.73,252.81,263.26,276.64,285.01,289.71,297.85,255.96,265.32,256.02,275.14,254.82,252.98,246.25,235.09,231.00,240.19,246.30,243.64,264.87,270.65,266.63,283.37,253.61,248.87,229.62,229.75,239.17,233.52,239.70,273.72,273.86,252.46,247.01,272.27,263.07,208.36,206.84,202.85,208.24,212.60,235.61,210.33,217.77,222.88,236.30,235.23,235.15,240.42,248.00,254.61,295.65,277.75,273.25,276.68,287.70,347.47,305.31,293.81,293.55,302.09,281.75,326.94,274.56,291.00,291.52,294.86,314.87,335.13,217.93,219.10,225.08,225.99,233.85,256.02,239.54,345.98,314.41,330.64,317.13,322.78,324.73,329.92,330.89,335.14,340.00,383.70,411.44,418.88,366.04,346.64,375.26,438.51,452.12,471.99,401.66,367.41,364.60,403.52,400.03,190.73,,,,321.74,336.46,336.02,327.34,222.36,222.80,239.73,360.56,403.45,413.13,433.73,471.58,541.33,464.59,524.45,260.58,262.75,251.52,299.17,218.92,429.78,183.03,181.16,173.93,178.96,324.90,339.60,344.49,323.33,318.85,358.41,177.38,185.12,181.56,203.96,503.18,501.53,469.27,469.39,211.83,316.71,240.32,219.39,279.54,162.51,233.96
2000-08-03 22:10:43.917000,L7,237.10,229.23,232.90,237.10,239.74,269.81,293.83,230.05,227.56,215.96,222.91,213.45,217.86,260.26,235.84,247.87,258.24,211.77,216.57,221.43,220.22,229.18,233.39,242.16,377.49,404.88,413.02,240.46,237.15,230.92,233.82,228.33,235.64,230.33,230.38,202.78,258.28,271.18,268.28,225.67,234.88,243.12,250.85,250.74,256.56,259.25,275.54,268.84,271.35,244.83,239.59,226.26,218.18,221.28,223.80,214.19,224.25,219.06,198.45,200.78,217.01,234.75,233.96,252.07,214.37,226.56,240.47,243.00,245.48,250.12,253.64,252.05,255.16,252.71,255.52,262.47,264.67,299.85,282.79,272.95,298.01,300.87,271.50,267.88,241.67,248.71,298.55,265.18,223.26,210.12,214.94,222.26,240.98,271.18,269.27,278.13,269.39,259.13,207.38,193.88,206.49,196.25,197.92,216.74,221.13,224.10,187.19,180.71,176.67,176.60,179.85,184.06,177.82,179.28,177.02,180.34,182.88,176.57,301.89,295.17,319.70,,,,,183.08,183.32,239.64,240.91,228.19,229.05,223.23,213.09,216.55,261.39,264.04,293.28,286.02,217.32,277.93,266.47,254.27,176.24,,176.76,323.26,204.38,208.88,,,,,,292.19,293.45,304.11,308.83,316.25,207.67,212.61,197.15,209.95,196.65,186.48,178.95,244.88,239.96,171.52,204.22,
2000-08-19 22:10:38.028000,L7,222.33,229.93,221.79,240.07,233.61,233.89,262.08,213.26,218.69,210.05,218.58,195.58,199.05,208.11,202.28,200.66,212.04,211.68,214.76,227.05,210.58,211.66,245.04,260.35,246.54,223.79,224.83,225.62,221.86,219.72,219.86,206.33,206.53,199.90,195.12,196.22,200.82,203.33,210.65,217.72,212.30,243.76,230.63,211.09,238.92,228.37,212.93,230.25,211.47,223.06,223.75,225.83,215.88,207.85,208.72,203.29,197.74,195.98,200.58,208.69,209.67,205.54,217.48,222.22,227.37,,174.04,228.50,226.96,223.30,242.64,244.57,240.14,245.55,247.94,252.15,256.91,254.66,237.62,239.11,238.89,230.80,244.52,231.03,221.37,211.80,212.77,226.16,207.72,185.38,203.21,205.82,214.42,196.35,209.64,210.83,209.56,207.87,207.20,181.83,183.52,189.01,195.70,193.36,190.96,185.17,182.26,178.95,178.25,,,,,,,,,,,,,,,,,189.33,190.30,193.28,194.94,204.22,206.79,211.09,221.48,216.75,218.40,233.84,252.47,251.02,,,,,,,,,,,,,,,,,,,,,,,,,179.67,177.38,177.68,,,,,
2000-09-13 22:04:02.015000,L7,204.02,204.81,200.59,213.47,221.56,216.56,217.39,192.68,196.67,205.72,204.85,200.13,190.59,196.61,192.39,189.83,189.58,184.40,194.07,204.59,199.51,206.42,199.89,206.63,215.15,224.97,233.48,238.20,233.24,236.85,238.97,226.67,217.22,205.26,210.82,204.46,202.50,202.71,206.12,209.86,209.14,209.07,212.53,214.78,214.22,215.94,208.09,202.15,202.87,199.07,194.05,,,,,,,,,,,,,,,,198.90,221.48,217.57,221.52,197.43,177.75,223.43,230.65,237.22,238.52,233.30,235.50,224.59,225.76,222.90,219.44,227.94,212.99,200.86,199.60,202.07,220.15,204.14,194.22,195.06,203.04,209.76,203.54,194.96,,,,,,,,,479.28,484.56,481.84,,,,,,,,,,,251.73,243.50,240.51,,,,,,,,,,175.82,192.53,190.98,192.32,194.10,196.33,216.22,218.44,217.71,219.29,218.82,215.44,202.60,195.81,194.25,202.41,,,,,,,508.38,475.20,,,,,,,,,,,,,,183.78,515.02,,,
2000-09-20 22:10:03.047000,L7,,,,245.84,247.94,242.90,248.69,,225.65,199.10,227.92,185.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.53,226.23,220.83,228.05,202.11,240.17,234.09,,,,,,,,,,,,,,,,,,,,,197.21,229.05,240.92,250.02,238.99,246.94,239.65,255.87,232.11,213.26,189.57,194.79,214.99,215.14,186.08,185.29,193.13,194.42,,,218.33,213.27,215.90,224.28,215.12,213.00,198.57,,,,,,,186.73,187.37,194.10,195.67,194.26,196.38,194.95,186.85,196.09,187.29,177.84,,532.64,512.21,,,,,,,,,,,,,,,,,,,,,,,,195.40,534.25,522.57,,,,,,,172.60,181.50,198.77,190.77,193.58,181.27,179.55,186.07,199.66,,,,,,,,
