dates,satname,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0034,nzd0434-0035,nzd0434-0036,nzd0434-0018,nzd0434-0026,nzd0434-0027,nzd0434-0028,nzd0434-0033
2001-02-18 22:16:35.003000,L7,,,240.04,245.68,237.15,259.72,276.02,267.41,252.79,268.00,270.14,250.99,221.29,207.82,203.51,196.00,,,,,,,,,,,,,,,158.23,289.84,,,,,
2003-12-10 21:58:29.659000,L5,,,,234.47,246.05,252.93,213.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-26 21:58:42.145000,L5,,237.96,249.03,273.66,285.97,303.64,302.00,293.31,278.57,279.51,282.96,293.35,276.20,279.35,224.24,217.58,195.35,,,,,,,,,,,,,,174.13,304.90,,,,,
2004-01-18 22:04:57.325000,L5,,173.80,246.16,269.86,282.41,306.56,307.41,294.77,289.04,281.83,287.87,284.13,276.48,282.26,210.16,205.38,183.26,,,,,,,,,,,,,161.65,183.33,314.39,,,,,
2004-02-19 22:05:07.713000,L5,,,,254.20,271.83,284.40,278.98,266.68,250.53,251.12,232.12,216.96,214.84,201.65,198.83,192.04,169.07,,,,,,,,,,,,,,,,,,,,
2004-08-22 22:03:12.259000,L5,,,244.12,260.95,269.05,273.38,272.05,270.68,256.82,253.80,260.73,273.82,278.58,292.13,208.49,209.50,197.64,,,,,,,,,,,,,,,,,,,,
2004-09-30 22:10:21.832000,L5,,,,233.79,250.60,245.28,249.12,206.29,232.45,233.37,201.99,211.62,211.48,214.14,199.10,194.97,174.73,,,,,,,,,,,,,,,264.41,,,,,
2004-10-16 22:10:42.774000,L5,,,,,,,,,,185.85,224.24,220.98,224.94,210.12,204.69,192.33,173.13,,,,,,,,,,,,,,,280.41,,,,,
2004-11-10 22:04:59.688000,L5,,,,,,,,,,162.86,193.70,191.62,200.12,199.10,188.51,183.37,166.36,,,,,,,,,,,,,,,,,,,,
2004-11-26 22:05:17.306000,L5,,220.90,241.35,257.02,267.33,288.63,282.10,286.44,266.32,271.83,272.60,277.12,280.26,279.34,213.53,204.28,185.55,,,,,,,,,,,,,,165.31,319.83,,,,,
2005-02-14 22:06:33.160000,L5,,225.73,247.50,263.86,279.41,278.81,262.58,259.35,248.02,248.30,248.81,251.79,263.68,263.53,216.37,215.47,197.80,,,,,,,,,,,,,,,,,,,,
2005-04-10 22:13:16.111000,L5,,240.90,257.98,276.32,280.50,290.91,282.47,283.98,271.29,274.52,278.38,283.23,284.39,288.93,227.30,223.25,220.12,,,,,,,,,,,,,,156.72,301.76,,,,,
2005-09-10 22:08:07.620000,L5,,,,248.75,266.16,271.98,269.11,273.65,264.00,263.50,252.37,263.73,280.41,276.56,215.34,202.41,193.18,,,,,,,,,,,,,,160.83,296.28,,,,,
2005-11-13 22:08:20.468000,L5,,,249.68,260.59,181.07,280.00,291.60,281.29,265.49,260.48,264.69,274.38,268.30,272.27,227.61,220.59,209.41,,,,,,,,,,,,,,163.25,296.47,,,,,
2006-02-01 22:10:13.684000,L5,,,231.88,260.82,271.04,278.12,273.43,267.46,257.66,259.22,263.81,263.83,242.14,237.56,215.36,212.81,195.42,,,,,,,,,,,,,,,,,,,,
