dates,satname,nzd0459-0000,nzd0459-0001,nzd0459-0002,nzd0459-0003,nzd0459-0004,nzd0459-0005,nzd0459-0006,nzd0459-0007,nzd0459-0008,nzd0459-0009,nzd0459-0010,nzd0459-0011,nzd0459-0012,nzd0459-0013,nzd0459-0014,nzd0459-0015,nzd0459-0016,nzd0459-0017,nzd0459-0018,nzd0459-0019,nzd0459-0020,nzd0459-0021,nzd0459-0022,nzd0459-0023,nzd0459-0024,nzd0459-0025,nzd0459-0026,nzd0459-0027,nzd0459-0028,nzd0459-0029,nzd0459-0030,nzd0459-0031,nzd0459-0032,nzd0459-0033,nzd0459-0034,nzd0459-0035,nzd0459-0036,nzd0459-0037,nzd0459-0038,nzd0459-0039,nzd0459-0040,nzd0459-0041,nzd0459-0042,nzd0459-0043,nzd0459-0044,nzd0459-0045,nzd0459-0046,nzd0459-0047,nzd0459-0048,nzd0459-0049,nzd0459-0050,nzd0459-0051,nzd0459-0052,nzd0459-0053,nzd0459-0054,nzd0459-0055,nzd0459-0056,nzd0459-0057,nzd0459-0058,nzd0459-0059,nzd0459-0060,nzd0459-0061,nzd0459-0062,nzd0459-0063,nzd0459-0064,nzd0459-0065,nzd0459-0066,nzd0459-0067,nzd0459-0068,nzd0459-0069,nzd0459-0070,nzd0459-0071,nzd0459-0072,nzd0459-0073,nzd0459-0074,nzd0459-0075,nzd0459-0076,nzd0459-0077,nzd0459-0078,nzd0459-0079,nzd0459-0080,nzd0459-0081,nzd0459-0082,nzd0459-0083,nzd0459-0084,nzd0459-0085,nzd0459-0086,nzd0459-0087,nzd0459-0088,nzd0459-0089,nzd0459-0090,nzd0459-0091,nzd0459-0092,nzd0459-0093,nzd0459-0094,nzd0459-0095,nzd0459-0096,nzd0459-0097,nzd0459-0098,nzd0459-0099,nzd0459-0100,nzd0459-0101,nzd0459-0102,nzd0459-0103,nzd0459-0104,nzd0459-0105,nzd0459-0106,nzd0459-0107,nzd0459-0108,nzd0459-0109,nzd0459-0110,nzd0459-0111,nzd0459-0112,nzd0459-0113,nzd0459-0114,nzd0459-0115,nzd0459-0116,nzd0459-0117,nzd0459-0118,nzd0459-0119,nzd0459-0120,nzd0459-0121,nzd0459-0122,nzd0459-0123,nzd0459-0124,nzd0459-0125,nzd0459-0126,nzd0459-0127,nzd0459-0128,nzd0459-0129,nzd0459-0130,nzd0459-0131,nzd0459-0132,nzd0459-0141,nzd0459-0142,nzd0459-0143,nzd0459-0144,nzd0459-0145,nzd0459-0146,nzd0459-0147,nzd0459-0148,nzd0459-0149,nzd0459-0150,nzd0459-0151,nzd0459-0152,nzd0459-0153,nzd0459-0154,nzd0459-0155,nzd0459-0133,nzd0459-0134,nzd0459-0135,nzd0459-0136,nzd0459-0137,nzd0459-0138,nzd0459-0139,nzd0459-0140,nzd0459-0156,nzd0459-0157,nzd0459-0158,nzd0459-0159,nzd0459-0160,nzd0459-0161,nzd0459-0162,nzd0459-0163,nzd0459-0164,nzd0459-0165,nzd0459-0166,nzd0459-0167,nzd0459-0168,nzd0459-0169,nzd0459-0170,nzd0459-0171,nzd0459-0172,nzd0459-0173,nzd0459-0174,nzd0459-0175
1999-08-26 22:07:08.722000,L7,,,,,290.10,188.98,267.84,233.05,148.38,,,,,,,,,,,,,,,229.71,276.74,,,,,,195.64,230.78,180.23,267.09,,,,,,,318.75,318.22,312.40,308.74,300.66,305.10,268.70,302.85,254.38,295.33,283.73,155.76,,264.09,276.07,220.74,,,,,,,,207.73,188.91,156.14,231.74,225.58,238.05,235.93,226.57,222.41,223.30,229.51,223.20,191.51,208.74,213.59,217.00,154.23,,,186.79,219.61,221.71,226.59,224.77,181.86,215.16,225.50,223.63,226.47,219.53,241.14,239.50,243.84,235.62,237.03,242.03,255.47,250.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.32,214.96,209.62,213.04,203.12,,,,,,,,,,,,,,,,,224.73,236.12,,,,,,,,,,,,,,,,,,,,
1999-09-27 22:07:12.757000,L7,,348.99,362.99,374.51,401.13,399.74,396.73,425.88,378.46,376.00,400.42,403.25,368.90,358.35,367.87,373.34,363.54,383.03,398.09,404.68,409.72,392.55,386.78,390.25,394.78,418.15,387.34,394.09,407.93,428.48,394.55,393.62,390.64,452.80,451.67,446.04,448.03,444.33,443.29,389.48,411.17,383.64,365.43,362.96,405.33,391.41,373.57,378.14,374.42,376.95,392.08,400.79,398.49,437.21,415.81,377.75,402.99,382.10,402.85,246.46,267.48,288.97,302.84,301.73,311.97,381.02,404.02,402.48,430.79,408.22,401.22,258.26,310.47,308.11,302.73,289.46,406.32,397.67,414.35,416.18,419.40,394.67,413.28,404.49,429.07,409.76,406.25,411.82,418.50,418.84,398.82,391.65,409.48,419.44,421.11,414.41,416.02,451.79,419.45,424.47,420.85,427.29,429.03,421.19,422.72,423.49,428.43,418.04,421.18,414.45,423.81,425.65,444.67,443.26,448.74,422.93,424.97,427.35,428.92,447.97,420.96,415.84,421.99,426.28,408.73,410.32,414.94,432.36,454.76,453.74,446.18,457.11,433.14,424.50,451.78,425.79,442.61,456.40,462.78,481.58,464.81,428.61,461.69,474.05,471.68,473.23,440.52,434.86,431.51,447.59,450.51,460.09,459.28,460.69,466.57,463.62,430.95,433.89,410.70,251.03,244.34,244.13,240.11,243.22,246.84,245.07,245.79,232.20,230.67,214.21,221.90,402.83,399.51,415.51,480.98,455.59
1999-10-13 22:07:12.582000,L7,,,,,338.45,354.39,353.94,332.34,342.32,338.02,348.75,349.09,349.06,345.83,355.35,353.36,355.97,365.51,381.39,381.33,376.41,375.33,359.48,371.99,373.87,365.31,368.40,370.39,365.22,369.67,368.27,365.81,365.55,367.75,372.16,364.41,352.95,361.57,360.66,363.49,376.67,375.39,347.58,339.75,336.89,342.45,349.28,339.04,334.57,336.08,360.52,356.89,356.48,342.37,346.14,347.81,338.42,344.76,346.76,344.41,342.99,345.53,351.09,347.30,350.74,305.96,323.73,319.14,330.79,349.49,342.64,331.57,334.34,342.41,342.64,343.31,341.68,326.75,332.95,328.56,328.04,341.34,336.14,337.42,341.33,350.82,333.96,321.04,323.13,307.58,291.93,288.71,289.91,326.02,310.36,302.01,295.84,306.77,321.42,325.26,331.64,335.49,339.27,343.78,345.83,341.56,338.93,337.32,302.21,334.05,339.96,344.24,336.40,326.25,323.55,339.44,337.54,340.38,339.55,338.01,342.19,334.45,341.48,342.89,341.92,332.52,332.88,334.73,345.90,339.04,341.36,341.37,339.90,325.16,329.46,330.54,320.60,310.90,298.22,306.51,283.16,295.59,297.00,277.16,290.11,286.01,337.19,249.05,338.85,324.54,334.71,328.40,325.13,341.88,333.46,326.27,299.86,301.85,310.46,336.36,325.19,290.02,296.08,297.53,326.97,334.72,327.58,338.30,328.04,322.58,305.98,343.57,350.27,368.66,387.26,390.83
1999-11-30 22:06:59.059000,L7,,,,,,,,,,,,,,,,,,285.92,294.24,301.78,294.90,228.22,263.22,257.78,272.62,258.49,239.14,279.00,282.75,164.68,264.33,289.73,271.28,245.12,202.98,247.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.34,209.58,196.45,174.65,189.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.86,200.47,199.86,201.87,195.00,195.57,178.27,189.00,196.51,194.07,173.74,178.94,166.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-16 22:07:09.748000,L7,,,,,,,,,,,,,,,,,,285.90,283.33,292.93,295.78,225.40,184.50,227.03,267.23,280.36,,320.44,282.99,153.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.37,224.36,221.56,189.26,201.17,221.14,225.93,221.91,215.44,223.48,218.38,218.56,206.93,,,,,,,,,,,,,,,,,,,,,,,199.50,207.19,205.64,190.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-21 22:06:49.022000,L7,,,,,337.53,351.42,354.68,341.65,322.63,325.55,299.89,295.58,237.57,,337.03,339.53,354.53,291.76,285.48,281.55,283.82,194.96,352.55,368.62,361.99,344.00,285.59,307.81,280.55,361.50,365.64,371.75,366.61,370.70,371.09,357.06,348.72,354.64,358.00,355.45,368.97,366.55,328.83,327.89,333.05,334.08,347.50,342.59,342.26,345.78,355.13,352.40,357.64,345.65,347.82,344.67,340.67,341.48,341.34,342.46,340.85,343.10,347.01,291.95,347.78,310.13,328.29,328.09,348.01,356.57,355.92,355.34,350.27,349.25,347.42,346.73,346.71,343.10,345.28,347.09,340.87,349.29,350.82,342.61,349.96,355.99,347.63,337.81,336.15,325.31,307.92,313.43,309.52,334.32,332.38,336.22,333.49,329.55,330.83,326.22,319.28,327.37,325.66,333.53,329.48,337.61,199.15,208.05,214.25,200.62,321.52,339.71,319.67,313.57,318.01,323.00,209.29,212.03,215.01,212.34,216.18,214.29,216.56,223.44,216.19,217.26,215.50,210.53,199.28,343.02,335.38,330.22,322.29,318.57,310.06,318.21,309.24,300.76,287.14,309.23,280.36,301.47,299.19,278.85,286.37,271.54,281.49,240.75,322.49,308.21,320.89,323.39,309.47,226.51,316.18,322.52,164.85,,,,,,,,,,,315.78,309.17,301.45,293.46,328.37,340.73,364.49,381.18,381.70
2000-05-08 22:06:20.956000,L7,,,,278.05,357.12,373.72,376.27,366.42,347.23,350.23,369.88,364.09,345.35,343.85,355.89,357.33,371.63,271.91,271.04,272.37,264.15,378.76,370.82,382.09,379.68,372.02,382.36,379.35,367.26,385.36,381.32,379.79,380.05,380.29,381.02,369.62,366.28,368.91,375.15,373.05,380.65,381.67,345.96,339.39,345.58,350.02,365.96,358.56,359.54,356.23,370.25,365.57,372.18,361.51,368.45,360.84,355.18,361.16,359.84,362.78,363.25,363.23,363.52,365.90,364.79,361.96,353.78,357.07,367.69,370.00,374.85,369.73,366.76,362.95,364.07,365.75,367.20,365.42,361.00,358.24,358.11,366.90,369.67,366.37,374.04,374.31,371.80,348.99,343.10,333.90,316.33,313.93,321.26,341.75,346.16,343.86,342.14,336.62,341.11,343.16,344.47,339.47,352.60,351.92,350.49,351.81,345.78,348.94,352.32,346.41,351.92,355.38,345.04,342.81,335.47,343.43,345.13,344.28,342.54,343.50,342.93,339.64,347.95,343.14,340.42,345.12,339.33,339.46,362.09,355.15,355.03,355.08,343.40,339.45,343.53,338.30,330.71,327.97,319.22,338.05,288.51,317.47,317.82,286.97,303.52,302.09,333.08,293.33,342.73,338.50,347.99,342.81,340.34,350.90,340.65,338.07,175.89,148.03,338.49,337.25,339.00,299.96,296.35,304.94,325.14,334.39,334.30,338.34,334.32,329.47,318.55,351.38,362.61,382.17,399.45,399.95
2000-05-24 22:06:10.472000,L7,,,,354.27,377.76,385.41,392.72,374.49,356.17,352.48,374.27,367.90,353.53,344.40,364.60,362.36,387.97,276.48,277.51,275.24,271.76,380.42,369.65,387.60,387.01,378.49,383.58,388.97,381.17,386.74,390.36,392.92,396.05,397.39,387.82,369.42,377.08,366.68,370.50,376.42,384.76,388.78,351.74,350.03,359.53,355.73,365.55,361.49,362.70,360.75,372.99,368.01,374.20,363.70,363.72,358.59,358.66,363.80,362.86,363.04,371.59,281.91,299.95,297.19,305.82,364.18,352.24,360.26,367.99,372.75,370.59,370.98,371.54,372.21,370.47,367.56,373.38,373.35,367.29,367.62,364.99,377.70,375.01,364.86,378.47,379.22,379.60,349.12,354.62,354.71,313.99,324.61,328.85,363.91,367.28,347.04,387.40,358.04,347.59,354.91,361.62,347.49,353.11,355.18,373.69,359.08,365.40,362.07,362.17,368.06,367.43,366.96,358.19,345.69,351.31,361.69,346.35,363.57,354.33,350.57,361.13,360.28,354.51,389.01,356.85,369.69,353.82,360.18,377.96,375.73,394.22,398.72,370.69,371.32,373.40,347.60,366.65,386.69,395.08,362.03,347.42,357.82,361.65,365.17,332.03,359.85,371.67,450.53,366.95,366.01,370.30,403.28,397.18,393.94,394.74,391.29,393.26,391.82,381.10,373.41,382.96,361.77,324.56,350.49,382.04,389.65,356.41,366.74,357.54,354.19,338.50,364.58,383.86,409.45,410.63,412.67
2000-07-11 22:05:41.532000,L7,,,,,299.74,297.73,250.19,,241.47,281.90,305.36,208.89,309.26,312.83,319.31,313.34,228.04,,,,,168.08,299.23,305.83,281.49,233.16,173.92,298.53,309.49,257.65,306.14,298.14,281.55,262.92,250.67,259.74,292.92,297.30,312.87,307.40,309.58,309.66,310.70,309.49,305.07,309.70,309.59,301.74,299.69,290.09,284.61,149.47,,,,,,,,,,,,,147.56,213.46,205.24,193.94,227.13,220.54,215.19,191.83,,,,223.17,214.77,219.02,216.60,219.96,180.22,,,,,,,,,,,,214.93,209.81,223.44,214.51,228.10,175.49,214.47,244.19,244.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.93
2000-07-27 22:05:24.302000,L7,,,,329.79,338.27,367.83,355.80,334.97,332.21,341.01,354.44,358.23,349.29,345.36,355.53,352.65,374.01,364.39,377.52,378.70,379.99,376.94,360.47,368.03,373.26,374.31,366.41,373.20,361.04,379.16,377.90,375.29,371.09,373.42,379.60,365.44,355.94,357.43,356.48,365.90,377.46,374.71,340.63,333.69,337.00,340.76,361.38,349.68,343.67,342.35,368.50,353.10,358.97,349.67,349.64,350.76,339.51,346.77,346.79,352.11,358.86,351.83,283.20,359.68,269.63,311.83,335.49,325.43,355.51,361.12,362.12,357.23,356.35,357.56,364.68,354.16,355.95,346.96,349.22,351.60,348.94,357.98,356.98,360.55,357.33,361.91,357.00,333.70,330.44,327.08,299.33,291.72,301.51,326.68,327.49,336.07,339.40,336.89,332.57,337.50,328.83,335.49,334.48,348.79,338.31,343.24,329.44,349.44,327.56,338.39,335.73,212.80,215.10,217.06,212.67,326.87,210.72,209.71,205.39,204.73,203.24,208.09,341.62,339.03,334.06,331.03,320.34,325.66,345.32,346.39,351.57,350.46,342.56,330.50,342.64,328.66,319.68,315.83,298.47,304.02,288.21,303.69,295.31,279.92,294.06,290.37,318.58,267.75,335.89,333.00,329.66,330.52,333.68,339.30,336.39,331.24,197.06,228.09,324.48,335.67,338.39,298.79,292.27,305.64,327.80,331.58,331.70,337.79,336.34,228.84,315.01,332.30,358.95,378.36,396.25,377.54
