dates,satname,nzd0505-0000,nzd0505-0001,nzd0505-0002,nzd0505-0003,nzd0505-0004,nzd0505-0005,nzd0505-0006
1999-08-26 22:07:32.686000,L7,202.77,156.63,224.05,200.26,227.27,196.27,296.28
2000-05-08 22:06:44.900000,L7,198.62,290.23,258.60,322.14,331.24,337.95,338.66
2000-06-25 22:06:19.852000,L7,,,,163.58,254.03,195.51,309.59
2000-07-11 22:06:05.496000,L7,208.08,169.36,182.92,280.06,353.68,366.32,499.34
2000-12-18 22:05:01.704000,L7,335.55,334.98,321.70,308.44,296.91,306.97,324.18
2001-01-03 22:05:00.181000,L7,275.80,223.12,288.03,193.84,347.36,350.66,359.38
2001-02-20 22:05:00.525000,L7,405.96,398.11,395.65,378.44,386.35,390.29,499.93
2001-04-09 22:04:41.882000,L7,263.71,364.10,363.74,358.75,370.26,378.65,379.58
2001-06-28 22:03:56.771000,L7,207.02,154.73,463.11,504.53,514.18,524.07,390.12
2001-07-14 22:03:57.537000,L7,,,,217.59,243.79,181.41,300.58
2001-08-15 22:03:26.328000,L7,201.57,152.58,228.42,219.54,244.78,199.71,220.25
2001-10-02 22:02:52.358000,L7,319.48,334.39,328.91,315.94,321.77,319.58,370.46
2001-11-03 22:02:58.699000,L7,311.44,332.33,325.80,315.21,318.33,318.37,318.78
2002-03-11 22:03:31.366000,L7,375.41,376.17,372.54,365.70,368.30,376.87,389.76
2002-04-12 22:03:25.302000,L7,206.49,226.77,240.81,229.88,250.85,507.97,500.56
2002-06-15 22:03:07.576000,L7,,,,,,,290.52
2002-11-22 22:02:45.529000,L7,310.93,322.08,293.33,311.94,322.02,327.94,341.77
2002-12-08 22:02:51.522000,L7,485.92,259.78,454.96,461.18,392.98,451.60,481.29
2002-12-24 22:02:57.022000,L7,269.41,229.60,237.26,203.30,324.58,349.04,356.47
2003-08-29 21:51:49.928000,L5,286.34,289.12,305.52,232.55,233.82,321.61,329.56
2003-09-30 21:52:18.101000,L5,319.69,316.12,324.68,261.87,327.92,341.12,342.70
2003-11-17 21:52:57.120000,L5,370.00,353.52,355.67,346.88,350.15,355.99,359.45
2004-06-12 21:55:59.429000,L5,,,,,217.45,176.32,269.75
2004-07-30 21:57:15.668000,L5,204.29,163.50,215.90,233.34,228.51,199.77,311.32
2004-10-18 21:59:11.702000,L5,319.26,309.64,319.35,256.00,309.06,332.58,332.10
2005-01-22 22:00:50.292000,L5,300.32,283.72,268.81,231.60,224.65,309.71,324.12
2005-02-07 22:01:03.020000,L5,291.93,268.55,259.19,200.47,207.33,202.59,318.83
2005-03-11 22:01:31.683000,L5,326.35,331.43,332.08,320.21,341.59,346.04,354.41
2005-09-19 22:02:44.739000,L5,274.71,215.97,237.48,219.81,225.63,189.19,206.14
2005-10-05 22:02:41.026000,L5,314.21,301.07,305.83,245.85,310.18,322.29,323.64
2005-11-06 22:02:46.848000,L5,303.89,307.81,314.06,247.61,317.17,329.49,321.67
2006-02-26 22:05:22.928000,L5,294.48,300.59,304.33,215.12,309.38,328.01,331.81
2006-03-14 22:05:42.635000,L5,295.37,301.55,304.56,218.84,302.56,321.29,328.88
2006-04-15 22:06:18.610000,L5,210.30,289.95,215.22,202.09,191.36,309.21,313.13
2006-11-25 22:09:07.763000,L5,322.92,323.73,323.14,248.53,332.71,336.64,327.78
2006-12-11 22:09:16.015000,L5,312.00,292.60,293.93,218.10,299.77,258.70,324.07
2008-11-14 21:57:52.281000,L5,308.51,312.29,309.84,233.48,303.56,269.35,316.09
2009-01-17 21:59:44.398000,L5,298.77,298.59,265.02,202.61,214.70,188.10,317.38
2010-02-05 22:05:29.575000,L5,307.40,316.15,320.22,236.00,325.89,328.15,327.46
2010-12-22 22:04:29.137000,L5,307.31,310.99,312.00,216.84,318.46,268.82,330.72
2011-02-08 22:04:35.159000,L5,306.19,314.24,309.36,227.77,243.67,321.78,319.26
2011-03-12 22:04:31.079000,L5,280.29,268.01,226.89,207.91,222.38,197.29,305.52
