dates,satname,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049,nzd0557-0042,nzd0557-0043,nzd0557-0044
1999-11-05 22:13:40.966000,L7,318.93,297.71,288.40,282.11,279.16,276.81,427.74,404.88,481.11,468.11,250.97,254.47,255.07,250.64,248.17,255.39,263.06,261.02,247.68,235.11,222.71,210.03,212.86,216.15,195.71,225.93,234.89,242.96,239.38,219.60,210.36,200.43,193.14,187.96,165.72,161.89,,,,,,,,,,,,,,
1999-12-07 22:13:41.663000,L7,311.80,293.57,287.71,283.11,275.58,270.29,258.60,259.33,249.76,250.30,244.89,246.42,254.65,248.43,254.71,250.25,257.74,260.26,241.98,229.49,219.79,211.04,213.00,215.16,174.05,179.88,236.51,244.26,239.85,221.02,211.41,202.95,190.79,171.05,166.90,163.05,139.94,,,,,,,,,,,,,
2000-09-04 22:11:34.434000,L7,249.10,264.59,239.63,230.26,238.94,231.34,280.40,279.86,257.93,258.95,254.82,261.25,449.94,471.29,468.26,493.91,509.62,482.57,507.19,238.90,224.76,222.22,217.20,217.58,233.81,229.97,240.82,250.75,247.14,234.69,212.21,204.52,243.93,242.15,219.42,228.80,199.15,178.85,392.11,378.04,354.98,349.05,,,,,,,,
2000-09-20 22:11:14.930000,L7,312.35,293.81,283.30,278.86,277.36,270.43,267.69,260.82,248.02,248.43,241.77,248.18,241.95,239.19,237.23,249.27,255.37,257.53,243.34,233.33,221.10,201.01,201.92,214.86,,224.25,234.04,244.83,232.82,212.35,197.99,188.60,181.10,178.33,184.18,159.72,,,,,,,,,,,,,,
2001-02-11 22:11:12.788000,L7,312.35,297.49,214.88,233.33,223.18,274.44,263.25,263.77,253.38,258.63,248.05,252.01,257.07,249.99,245.45,249.80,253.10,258.86,245.02,231.32,223.45,215.33,214.43,230.76,208.03,231.50,239.33,239.75,238.91,225.31,212.05,208.78,199.77,196.23,212.66,161.75,147.58,,,,,,148.76,171.83,177.80,160.87,220.80,,,
2001-02-27 22:11:06.137000,L7,478.37,475.32,466.78,430.16,424.89,502.70,499.24,477.64,471.63,484.78,388.43,419.60,460.25,428.07,440.15,384.16,389.52,386.65,368.17,346.81,331.56,332.91,346.40,231.69,255.25,239.97,257.05,254.71,400.24,387.78,457.82,412.17,416.01,209.20,224.81,189.37,377.92,393.35,387.89,379.94,379.88,375.26,337.04,344.91,343.12,306.48,292.55,155.59,155.97,326.22
2001-04-16 22:10:54.636000,L7,250.38,242.00,231.11,235.01,237.77,172.57,176.56,267.08,261.66,266.12,261.45,260.90,265.37,266.15,270.61,270.27,282.12,275.77,272.14,251.00,242.94,236.22,231.51,246.77,226.15,235.47,253.70,246.51,245.84,223.20,216.30,206.26,196.18,196.49,207.94,216.29,184.68,171.34,,,,,151.55,175.89,180.18,161.11,224.58,,,
2001-11-26 22:09:21.320000,L7,409.04,391.61,360.36,333.16,327.26,346.80,363.46,342.40,326.94,328.52,335.84,180.69,174.78,172.11,311.89,367.85,361.97,346.09,326.01,315.95,367.95,356.05,355.46,295.03,288.29,298.65,340.18,323.80,291.60,314.47,273.98,255.14,264.79,256.29,253.47,256.30,224.26,202.29,178.64,201.80,207.41,210.77,171.38,190.59,185.01,224.38,222.21,212.67,209.72,155.30
2003-03-21 22:09:27.545000,L7,322.50,308.72,298.68,290.51,288.02,201.04,205.94,207.56,206.99,202.38,259.24,251.98,253.68,254.90,263.70,254.30,265.06,265.17,263.24,248.51,228.59,227.88,225.75,227.84,218.03,235.88,247.37,252.84,246.34,225.82,215.87,206.55,229.10,249.45,221.70,227.66,154.14,156.28,308.46,310.18,307.76,309.49,287.59,316.99,322.60,164.07,273.08,313.49,250.12,292.58
2003-10-07 21:58:35.519000,L5,344.46,324.51,319.67,309.92,299.29,290.07,281.36,274.63,271.85,274.68,272.61,269.00,268.60,269.26,267.80,271.87,280.40,279.24,268.54,256.15,245.91,243.80,237.59,244.65,251.34,251.57,263.05,272.10,256.65,244.35,229.59,220.89,215.12,204.39,205.40,212.56,195.36,173.14,,,153.39,153.48,192.16,207.70,222.25,206.12,227.04,164.88,171.67,182.53
